player_name,player_team,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Rohit Sharma (c),MI,batsman,257,32,,,,15,30.20,8.01,22.6
Quinton de Kock †,MI,batsman,32,-,,,,-,-,-,-
Suryakumar Yadav,MI,batsman,150,1,,,,0,-,8.00,-
Saurabh Tiwary,MI,batsman,93,-,,,,-,-,-,-
Hardik Pandya,MI,batsman,137,93,,,,64,33.59,9.09,22.1
Kieron Pollard,MI,batsman,22,3,,,,2,40.00,11.42,21.0
Krunal Pandya,MI,batsman,127,117,,,,76,34.28,7.36,27.9
Sam Curran,CSK,bowler,15,15,,,,11,40.72,8.45,28.9
Ravindra Jadeja,CSK,bowler,240,211,,,,160,30.40,7.62,23.9
Murali Vijay,CSK,batsman,106,4,,,,0,-,8.16,-
Shane Watson,CSK,batsman,145,105,,,,92,29.15,7.93,22.0
Faf du Plessis,CSK,batsman,33,-,,,,-,-,-,-
Ambati Rayudu,CSK,batsman,8,-,,,,-,-,-,-
Ravindra Jadeja,CSK,batsman,240,211,,,,160,30.40,7.62,23.9
Sam Curran,CSK,batsman,15,15,,,,11,40.72,8.45,28.9
MS Dhoni (c)†,CSK,batsman,264,-,,,,-,-,-,-
"Kedar Jadhav,",CSK,batsman,95,-,,,,-,-,-,-
Krunal Pandya,MI,bowler,127,117,,,,76,34.28,7.36,27.9
